Internal-count	#main_id	obj	ra	dec	z	xmask	ymask	slit_length_left	slit_length_right	offset	thickness	length_slit	xmm	ymm
44	103217836.0	0	32.336883	-5.628133	0.6629	6.173404139	2.527584911	0.08	0.16	0.0	0.075	0.24	6.2134041	2.5275849
45	112012466.0	0	32.340871	-5.569115	0.655	6.339684316	5.018485666	0.16	0.08	0.0	0.075	0.24	6.2996843	5.0184857
46	103181554.0	0	32.350896	-5.779373	0.7378	6.758956078	-3.858978987	0.12	0.12	0.0	0.075	0.24	6.7589561	-3.858979
47	112013899.0	0	32.36018	-5.562246	0.6412	7.149654319	5.307167502	0.12	0.12	0.0	0.075	0.24	7.1496543	5.3071675
48	112007353.0	0	32.37106	-5.59419	0.6835	7.606980809	3.958979139	0.12	0.12	0.0	0.075	0.24	7.6069808	3.9589791
49	112007404.0	0	32.38187	-5.595051	0.6415	8.060312591	3.922087597	0.12	0.12	0.0	0.075	0.24	8.0603126	3.9220876
50	103221874.0	0	32.388121	-5.609652	0.6432	8.322720592	3.30569227	0.12	0.12	0.0	0.075	0.24	8.3227206	3.3056923
51	103208984.0	0	32.395107	-5.663555	0.6639	8.616015666	1.030386565	0.12	0.12	0.0	0.075	0.24	8.6160157	1.0303866
52	103181519.0	0	32.402062	-5.778129	0.6566	8.903937861	-3.805264482	0.12	0.12	0.0	0.075	0.24	8.9039379	-3.8052645
53	103193376.0	0	32.41377	-5.729145	0.6617	9.396670847	-1.738288189	0.08	0.16	0.0	0.075	0.24	9.4366708	-1.7382882
54	103220895.0	0	32.418352	-5.614853	0.6651	9.589524997	3.084707769	0.12	0.11	-0.011	0.075	0.23	9.584525	3.0737078
55	103220463.0	0	32.420143	-5.615375	0.6644	9.664538616	3.062591238	0.0	0.0	0.0	0.075	0.0	9.6645386	3.0625912
56	103220057.0	0	32.422267	-5.618051	0.6663	9.753534207	2.949591973	0.0	0.0	0.0	0.075	0.0	9.7535342	2.949592
57	103220162.0	0	32.425696	-5.61832	0.6642	9.89711379	2.938062334	0.2	0.18	0.006	0.075	0.38	9.8871138	2.9440623
58	103177700.0	0	32.43455	-5.795051	0.7404	10.26279627	-4.51778796	0.3	0.12	0.0	0.075	0.42	10.1727963	-4.517788
59	103190971.0	0	32.469175	-5.7396	0.6497	11.71414169	-2.178890833	0.12	0.12	0.0	0.075	0.24	11.7141417	-2.1788908
60	103191680.0	0	32.482446	-5.736154	0.661	12.26872265	-2.033456515	0.12	0.12	0.0	0.075	0.24	12.2687226	-2.0334565
Blank1	0.0	0	32.052	-5.63	0.7	-5.800460341	2.449005008	0.4	0.14	0.0	0.075	0.54	-5.9304603	2.449005
Blank2	0.0	0	32.074	-5.61	0.7	-4.87628521	3.29417612	0.12	0.12	0.0	0.075	0.24	-4.8762852	3.2941761
Blank3	0.0	0	32.287	-5.68	0.7	4.078181743	0.337662761	0.12	0.12	0.0	0.075	0.24	4.0781817	0.3376628
OVI1	102156098.0	0	31.904748	-5.787182	0.9724	-11.96477555	-4.184456229	0.12	0.12	0.0	0.075	0.24	-11.9647756	-4.1844562
OVI2	103175557.0	0	32.488523	-5.804923	0.9832	12.51720191	-4.931191551	0.12	0.12	0.0	0.075	0.24	12.5172019	-4.9311916
QSO1	2.67e+18	1	32.040139	-5.644209	0.6421	-6.29852483	1.848652769	0.3	0.3	0.07	0.075	0.6	-6.2985248	1.9186528
QSO2	20900000000000.0	1	32.454515	-5.806811	0.738	11.0966632	-5.012526328	0.4	0.4	0.07	0.075	0.8	11.0966632	-4.9425263
QSO3	20800000000000.0	2	32.017403	-5.687933	2.418	-7.252513793	0.001746613	0.1	0.16	0.0	0.075	0.26	-7.2225138	0.0017466
QSO4	21000000000000.0	2	32.477434	-5.605045	2.455	12.06066011	3.494535354	0.08	0.16	0.0	0.075	0.24	12.1006601	3.4945354
