Internal count,RA,DEC,X,Y,GAIA gband,SDSS gband,SDSS rband,Xguider,Yguider
1,32.013184,-5.915665,-7.48408,-9.6891,,12,12,440.9124046444624,1323.950053278314
2,32.020547,-5.661154,-7.175632,1.141346,,,14,1451.1787947987852,1252.4532712091507
3,32.034062,-5.89055,-6.60067,-8.620103,,,11,541.5317408869414,1234.742148613271
4,32.072615,-5.782639,-4.969689,-4.02771,,,14,972.5810278267935,1065.4595692375144
5,32.07864,-5.743487,-4.714935,-2.361612,8,,,1126.3379121742703,1037.4798272352696
6,32.083434,-5.691844,-4.512372,-0.164002,12,12,11,1326.645784189235,1013.7019478277491
7,32.097313,-5.647305,-3.924974,1.731384,,14,13,1496.1543953734658,956.4194917156194
8,32.1014,-5.786504,-3.751016,-4.191964,11,11,11,954.7166340246686,952.1343510310977
9,32.114044,-5.977712,-3.214646,-12.328493,,,9,169.58925256758806,919.4787186779341
10,32.118431,-5.827807,-3.029763,-5.949444,,14,14,788.340545033151,887.9586818275505
11,32.118465,-5.657686,-3.029207,1.289766,,14,13,1455.0914294875383,875.9190077123146
12,32.131474,-5.758881,-2.477917,-3.016339,,14,14,1061.9602743187886,831.4846613146967
13,32.140893,-5.678353,-2.079407,0.410435,,,14,1374.6707218455542,790.5693168453008
14,32.141114,-5.731215,-2.069853,-1.839026,,,14,1169.9326488068584,792.185632061336
15,32.143497,-5.877251,-1.968473,-8.053358,,,14,586.2253352947454,790.7284462946905
16,32.170291,-5.830921,-0.834359,-6.081793,,,14,773.3741622776822,680.8453714355318
17,32.17512,-5.834651,-0.629902,-6.240469,,,14,758.210014900242,661.6266299108765
18,32.177937,-5.822363,-0.510669,-5.717574,,,14,807.6236727564802,650.0526009064232
19,32.182988,-5.705862,-0.296893,-0.760086,,14,,1267.0781493209445,628.1506858326129
20,32.185286,-5.623786,-0.199612,2.732524,,,14,1581.1000331608682,618.6360604710641
21,32.188236,-5.974135,-0.074647,-12.176067,,,14,181.67173251466423,611.8672831994969
22,32.192502,-5.641287,0.105957,1.987796,,14,13,1514.6378719806726,591.0459392665831
23,32.202289,-6.014459,0.520064,-13.892016,,,13,9.648506465465992,554.110147578658
24,32.215737,-5.918904,1.089346,-9.825802,,,14,413.17668096927827,498.17173802696396
25,32.221491,-5.776507,1.333233,-3.766303,9,,,990.2173692400569,476.91827039575276
26,32.22534,-6.057414,1.495465,-15.720014,,,12,-176.05285788699254,457.10159561541195
27,32.231628,-5.738512,1.762537,-2.149518,,14,13,1139.8210080100603,437.9311627625098
28,32.235071,-5.680457,1.908489,0.320918,,,14,1364.915963297542,426.3504309541596
29,32.239449,-5.870523,2.093184,-7.767059,,,13,612.7106775655186,402.74214291442837
30,32.251786,-5.91415,2.615205,-9.623613,,,13,433.7674910759801,350.9637983000634
31,32.254526,-5.815258,2.731668,-5.415391,,12,12,836.6074480025399,344.4301880821129
32,32.268729,-5.740487,3.333373,-2.233701,,,14,1133.0860916909724,292.3545629408454
33,32.274991,-5.879816,3.597615,-8.162692,,,14,576.1700571223039,258.4572664369677
34,32.282116,-6.034568,3.898175,-14.74807,,,9,-73.9352205709514,218.15149334124567
35,32.286275,-5.846203,4.075511,-6.732397,,14,13,713.5426055401351,215.35324558261084
36,32.287522,-5.695231,4.129372,-0.308052,11,11,11,1309.6868150559549,222.15728076137745
37,32.288376,-5.903645,4.164058,-9.176806,,,14,479.1106196202881,202.32175957809
38,32.303338,-5.743703,4.798681,-2.370799,9,,,1122.2947179454627,156.29249768164863
39,32.304117,-5.98036,4.8297,-12.441443,,,12,159.78154774991611,130.76985696715047
40,32.324068,-5.704769,5.676778,-0.714235,,14,14,1275.1285967795716,79.17243598231016
41,32.329364,-5.904128,5.898969,-9.197726,,12,11,480.5232440394535,35.23849274158099
42,32.361653,-5.969449,7.264883,-11.977762,,,14,212.24338558416198,-106.47191660966172
