Internal count,RA,DEC,X,Y,GAIA gband,SDSS gband,SDSS rband,Xguider,Yguider,Xguider2,Yguider2
33,252.691397,34.834777,0.94704,-14.135224,,14,14,13.258030715527255,377.42512820346315,15.847409446045745,325.5936370561977
34,252.668813,34.825583,1.041523,-15.010729,,14,13,-76.89280559927748,364.4129848759466,-73.93293160520108,309.16109496530527
35,252.856318,34.871144,1.479651,-8.195603,,,14,602.8361208015527,339.2951706895439,607.4396298359541,309.8623137686704
36,252.895501,34.875333,1.782545,-6.849765,,12,11,731.8433190865437,310.93065953895103,737.4807587304535,286.4064128179092
37,253.141295,34.938764,2.18377,2.133482,,14,14,1551.6162930460432,260.49676071342725,1557.551874414583,267.7250457606256
38,252.988917,34.891761,2.2449,-3.546981,11,11,11,1041.470577661371,265.74817796034233,1048.4189867276984,253.09325263231875
39,253.096527,34.919794,2.409128,0.389868,,,9,1398.1890064933489,243.86830915725793,1405.1334779266917,245.05425756655862
40,252.83754,34.836825,2.6253,-9.313751,12,,,496.23595390816087,226.44855118488908,505.29012510786197,192.7982853546201
41,252.837607,34.83674,2.629499,-9.312792,,13,12,496.3358986369626,226.04021060081223,505.40609079012467,192.3932586920607
42,252.880908,34.848955,2.661542,-7.713981,,13,13,650.8813945677493,225.2851902011688,659.8731442407628,197.53982993391605
43,253.097631,34.913152,2.687912,0.329479,,,9,1393.5628453265736,217.67189167344725,1401.4395154106978,218.63261947453825
44,252.934087,34.861052,2.815932,-5.793186,,,14,833.6151562877376,211.64215090705238,842.9088419914123,190.88741233192025
45,252.747874,34.804879,2.822235,-12.722745,,,13,158.3751804600346,197.48344827139937,168.61206854275662,150.98031811163688
46,252.787662,34.810634,3.071645,-11.333377,9,10,,298.1291527029413,177.65119520514313,309.1901476143801,136.41713126570338
47,253.107696,34.897379,3.438703,0.430283,,,14,1404.7639956561115,146.38316845127105,1415.1069122105607,147.66132944351398
48,252.998612,34.852305,3.938218,-3.804316,12,,,1022.0858901793222,103.49477790274767,1035.0310686071302,89.84120180242292
49,252.998625,34.852286,3.939108,-3.804178,,14,12,1022.102501561841,103.40660121936715,1035.0508755477185,89.7535330276109
50,253.068581,34.862387,4.37139,-1.361846,,14,14,1246.9679441195092,60.29485960961894,1260.8460784260476,55.28223314317992
51,252.882577,34.803993,4.47833,-8.316879,,,14,597.2572512990955,47.07103348210833,613.2044068201311,17.0519411625281
52,253.160228,34.879183,4.792401,1.889507,,,14,1538.8889015045063,14.889097689179316,1553.3176449817524,21.193356167286588
53,252.825544,34.774059,4.988789,-10.626575,,,13,372.9157451405191,-9.604726343299843,391.4270602256389,-48.1975940384928
54,252.787661,34.747176,5.606664,-12.263956,,,9,211.3204608145356,-77.82090571089752,232.78813018045972,-122.56282344087658
55,252.940148,34.787988,5.808866,-6.66137,,14,14,760.5674903071188,-80.37839892201895,781.0343228407536,-104.33082623388498
56,252.676266,34.70675,5.876736,-16.514336,,4,13,-226.88452846313933,-131.12706241998168,-202.84338298872692,-192.24281052899804
57,252.851188,34.75656,5.996442,-10.04113,,,14,434.16238984268983,-107.63363722160763,456.4547253789956,-144.0105963134146
58,252.760627,34.727925,6.049773,-13.43381,,,14,94.11791835896629,-128.33611074848753,117.79925959956002,-177.50497304945037
59,253.137582,34.839493,6.110194,0.569929,,12,12,1427.6288648253696,-108.63110419720869,1446.7817518506333,-106.88740489635299
60,253.020691,34.802048,6.211599,-3.812218,,13,12,1029.7809013215606,-116.62620378167122,1050.7616432206019,-130.31054882768106
61,252.683159,34.693147,6.503273,-16.488069,,,14,-221.96072352851078,-194.97775577158583,-195.17447895383341,-255.92303403494594
62,252.810745,34.722619,6.865794,-11.8661,,,14,256.1184135310307,-202.24951583692,282.546394125729,-245.40836122133734
63,252.779018,34.713028,6.86661,-13.04854,,13,12,136.54932933390424,-208.60485632608112,163.46509213924477,-256.2394228728149
64,252.877853,34.732711,7.270051,-9.514594,,,14,491.25191098319937,-232.60796712757337,518.3100307156647,-266.9555732097288
65,253.069202,34.788227,7.344329,-2.420597,,,13,1163.3944415548824,-226.35093343330874,1187.8267438736834,-235.0494805332876
