Internal count,RA,DEC,X,Y,GAIA gband,SDSS gband,SDSS rband,Xguider,Yguider,Xguider2,Yguider2
1,252.644044,35.030741,-7.44892,-12.802359,,,12,167.80134772459206,1189.762864572122,136.95221627920276,1144.818264830682
2,252.644057,35.030723,-7.448035,-12.802186,12,,,167.81320709694788,1189.6803588527655,136.96758710025188,1144.7360918014977
3,252.872579,35.058299,-5.803717,-4.924421,,14,14,915.5097301266601,1024.2670323007926,894.1725687977548,1007.9679363182734
4,252.597742,34.969858,-5.576983,-15.213455,,14,14,-83.84895741760347,1009.6517823198982,-108.54269815565203,954.7832754808114
5,252.855668,35.043261,-5.405401,-5.697657,,,14,843.0847730253666,989.4201163343969,822.909202012548,970.2487594798107
6,253.060962,35.098915,-5.177608,1.830747,,14,14,1519.0282890860701,940.9535014430636,1501.3737133773325,948.1039686268103
7,252.936638,35.059318,-5.077938,-2.813952,,,14,1106.8303538387645,950.8429500280719,1088.5607741211677,941.864167632205
8,252.808933,35.017579,-4.939807,-7.602806,,14,14,663.403967020595,949.803910843704,644.3134479896828,923.606874899877
9,252.612558,34.952525,-4.706102,-14.984152,,14,14,-63.68177505533358,926.3163909426723,-84.68212292893188,872.1200386544958
10,252.616765,34.947553,-4.456816,-14.91972,12,,14,-57.94997658318522,902.4160576200976,-77.89607503003435,848.4109331034439
11,252.683501,34.961359,-4.202954,-12.53256,,14,14,182.5968470662332,881.7088324200964,164.632525192459,836.895511076039
12,252.902666,35.025158,-4.119112,-4.424707,,,13,958.4411718746278,866.8461732081003,943.1041992952114,851.9464745603133
13,252.592133,34.930093,-4.057366,-15.983162,,,13,-168.98923233944075,861.0786014130749,-187.739237632288,802.7796742716761
14,252.923065,35.022495,-3.768555,-3.795978,,14,14,1015.6946789874046,832.6618966112636,1001.6994821764184,819.9298876042324
15,252.701092,34.951185,-3.584687,-12.106406,,14,14,223.4456375967407,822.9489021572813,208.0658200814062,779.62403651786
16,252.841703,34.979453,-3.023331,-7.088799,,13,13,708.6415887487763,769.1095018807034,696.659682092736,744.3730684353909
17,252.760016,34.954588,-3.011266,-10.127538,,14,14,417.04721371702914,769.3508535170962,404.4439427900538,733.3827303940747
18,252.785704,34.957555,-2.82096,-9.243019,,14,14,502.5610058163235,751.2803361586394,490.88385480372426,718.5736690470023
19,253.086949,35.046475,-2.771125,1.91827,,,9,1525.7583998216958,720.9514375962116,1515.787026994856,727.9724974628926
20,252.925722,34.980769,-2.069104,-4.318581,,12,11,966.4946886446185,675.1648361520181,958.3355187660264,660.2586825969964
21,252.829951,34.945769,-1.818564,-7.966884,,13,12,624.055647571784,655.6639948807849,616.3524445891019,627.4924587524932
22,252.648559,34.889295,-1.746975,-14.736777,,13,12,-46.169310751125735,639.8512962906902,-54.85014107960862,586.0099512965523
23,252.589376,34.869548,-1.673836,-16.966023,,13,13,-278.4275315158311,624.1162678641948,-287.36150232866964,561.4315571882037
24,252.733532,34.910869,-1.583862,-11.636583,,,9,266.6135606907635,631.1379270544884,259.22952151381537,589.2190222961011
25,252.74612,34.913152,-1.523438,-11.190764,,,14,310.69293594995423,625.9332910203324,303.6220710661491,585.6937713719512
26,252.927291,34.967375,-1.514982,-4.462866,,14,13,953.083449257479,623.3555547484823,946.8555403344769,607.8448591468414
27,252.847804,34.921555,-0.63679,-7.736678,,14,13,645.6181974526359,542.9475311282446,642.320881609525,515.4406863324671
28,253.096723,34.98636,-0.250671,1.364187,,14,14,1479.1456295188275,490.2580720075537,1477.2844371133415,495.04037784652894
29,252.682611,34.861829,-0.239261,-14.025403,,,14,24.876017509323745,494.5621611655908,22.562398166439735,443.27920403844246
30,252.641775,34.829407,0.562229,-15.840652,,,14,-163.08579583112282,408.103196701509,-162.20518539977368,349.62716035270853
31,252.962331,34.923842,0.644387,-3.950481,,,14,1001.6352386728054,418.530770261423,1003.00500191224,404.5736416451967
32,252.626258,34.820105,0.74603,-16.486204,,,14,-230.87763203826302,386.557106361314,-229.2511677156514,325.5072436832054
