name,color,line,x,y,w,h,amp_x,lx,x0,fwhm_x,off_x,amp_y,ly,y0,fwhm_y,off_y,smearing,fwhm_x_unsmear,lx_unsmear,x0_unsmear,amp_x_unsmear,l203,l214,l206,X_IMAGE,X_IMAGE_unsmear,Y_IMAGE
17,blue,203.0,1383.7418,1282.3702,10.0,32.0,306.50342013118814,5.700000000026836,23.2080192360353,3.89215473933842,8454.08126379748,141.45847757078852,35.92459408911715,28.185182155607432,5.091613866388253,8453.632176835763,-1.616989141265723,3.2700533827800347,6.2999999999999625,22.521131587902364,321.2916666666559,True,False,False,1386.9498192360354,1386.2629315879024,1279.5553821556075
11,blue,203.0,1527.6672,843.45007,10.0,32.0,369.78322495810266,5.700000000000001,20.423154074564177,2.8233386769065345,8455.979338822155,216.53582981183408,35.99910685635425,31.415843342032296,4.369040115257695,8452.205433188827,-0.2353545054849319,2.800095329119321,5.700000000000001,20.40932501917222,369.93509203592885,True,False,False,1528.0903540745642,1528.0765250191723,843.8659133420323
4,blue,203.0,1142.942,190.01209,10.0,32.0,120.1458333333283,6.299999999999999,28.01515846402424,9.273821400208023,8449.517873280307,39.33999999999924,37.01253609123656,38.55053684515984,7.815023226541022,8445.068173778844,-5.978990310638658,6.157560374065388,6.098201610293494,23.500006957854367,118.40621625666836,True,False,False,1150.9571584640244,1146.4420069578543,197.56262684515985
3,blue,203.0,1683.1712,145.63363,10.0,32.0,299.28311433945265,5.700000000000001,19.474918633207785,3.256847027886532,8467.210041896134,2927.7500000000005,0.4211415613734877,30.992201455575884,0.6955944015187373,8635.009165558839,-0.3531703846962664,3.1967559557218284,5.700000000000001,19.416278241530645,301.1615434435245,True,False,False,1682.6461186332078,1682.5874782415306,145.6258314555759
5,blue,203.0,1120.0708,358.1398,10.0,32.0,143.4895833298517,6.29999999999999,26.708304230858854,9.228412710309925,8445.828655596486,49.39666666666472,37.87466791741963,35.10450145272003,5.195419291892938,8448.704198312504,-5.997573335329936,8.907303313753939,6.233518439114008,23.500001695608518,143.48775889782007,True,False,False,1126.7791042308588,1123.5708016956085,362.24430145272004
6,blue,203.0,1562.5285,487.87387,10.0,32.0,320.34255682292627,5.700000000000001,19.698915654264244,2.9275230276274242,8453.970678713908,209.8627077885429,35.98634781213467,24.564571925011805,3.420607121988647,8451.903348804319,-0.004623520911890694,2.921456331198381,5.700000000000001,19.698712997819186,320.2614647139572,True,False,False,1562.2274156542642,1562.2272129978192,481.43844192501183
7,blue,203.0,1623.2835,628.5674,10.0,32.0,364.48818610896564,5.700000000000001,21.90064475715386,2.6893330461636724,8454.691942575202,197.12316986791834,36.28316434707836,27.733624083062114,3.994651622364045,8454.321735985788,-0.6904072045406137,2.527869937715523,5.700000000000001,21.648234374828046,369.6161347538701,True,False,False,1625.184144757154,1624.931734374828,625.3010240830621
10,blue,203.0,1399.402,785.22213,10.0,32.0,307.71911075814376,5.7000000000004265,20.935156541480033,4.319589721067861,8449.116289485764,186.7481509006295,36.50575650468827,31.979849783818704,4.1356637220591725,8449.526088315077,-0.971746965227896,3.9602631418408083,5.700000000000061,20.455918591395058,317.2331159990823,True,False,False,1400.33715654148,1399.857918591395,786.2019797838187
13,blue,203.0,1667.3315,1022.6998,10.0,32.0,480.6520833349584,5.700000000001703,27.32678162524242,3.568785917581886,8731.22735913246,76.16000000000204,38.090009316352024,23.660128962294213,6.540810817186165,8602.800000000001,-5.999999999999999,0.1826109016075413,5.7522268120944995,25.436321703402356,686.6458333294539,True,False,False,1674.6582816252424,1672.7678217034024,1015.3599289622942
22,blue,203.0,1217.6803,1695.5056,10.0,32.0,158.63243779060772,6.299999999998072,16.6770588601061,5.823917994586777,8449.99936412926,113.09666666666726,31.92848369244736,34.38386483368398,7.908450644168086,8444.81392161843,-0.033187378730331285,5.814457504677357,6.299999916370782,16.677196460020898,158.58019061231087,True,False,False,1214.3573588601062,1214.357496460021,1698.8894648336839
14,blue,203.0,1430.7487,1097.7952,10.0,32.0,340.37946768945756,5.700000000000003,22.37413219085511,3.575566481630854,8447.571445034759,177.7967666266187,36.128491964640276,27.33853225401796,4.67043962196273,8451.98931668075,-1.2080350382862408,3.1922552708038157,5.700000000000001,21.78623267105558,360.46875000000176,True,False,False,1433.1228321908552,1432.5349326710557,1094.133732254018
15,blue,203.0,1256.7523,1163.5606,10.0,32.0,213.29794821761263,5.931088212327933,15.070758246572307,4.7832318269486205,8447.039544058754,131.17999999999978,16.7613334875412,36.596611551554,5.539179579889959,8461.141131582337,-0.03765436845965672,4.782975177541352,5.931321202114397,15.070756646322495,213.29669761603907,True,False,False,1251.8230582465724,1251.8230566463226,1169.157211551554
20,blue,203.0,1681.2566,1570.8511,10.0,32.0,753.7924630669035,6.299999999999995,16.144229241951937,11.480572508222313,8488.690200697292,161.74666666666855,34.89858922839346,26.152301866906402,4.9692372461575,8905.692525560211,-2.253126675072425,9.999999999992706,6.299999999999681,14.535296629551882,788.3437499999044,True,False,False,1677.400829241952,1675.7918966295517,1566.0034018669064
8,blue,203.0,1373.6832,681.55226,10.0,32.0,462.12499999999994,6.299999999999995,18.55596650992702,11.819331438976297,8450.203484947904,425.98139544452795,36.400303560376436,30.164778190289557,4.412541040026048,8452.226041310956,-1.7295710651653207,9.950841316200775,6.29896403368642,17.49998370559289,462.1249999995637,True,False,False,1372.239166509927,1371.183183705593,680.7170381902896
16,blue,203.0,1370.0982,1212.0083,10.0,32.0,283.05600787601156,5.700000000000009,22.21059471223776,4.555237917898816,8447.904783131748,153.37865230057847,36.33280193302312,28.152603591473135,4.823223406963667,8453.488556111002,-1.3743577898776687,4.541049508562154,5.700000000008122,21.550648473151405,296.81250000000176,True,False,False,1372.3087947122376,1371.6488484731512,1209.160903591473
21,blue,203.0,1685.792,1648.5132,10.0,32.0,672.2683595034637,6.299999999227629,12.514615767467767,14.062508894668449,8470.69791666667,141.13512242977959,36.29467312752152,25.388238056279867,3.833285069784111,8738.836777900164,-5.99999999999989,9.99999999999999,6.299999999999998,8.55648609133194,789.9687499999981,True,False,False,1678.3066157674677,1674.3484860913318,1642.9014380562799
12,blue,203.0,1140.942,939.9669,10.0,32.0,190.4408747494347,6.299999999999047,22.812682484519268,7.885556005382907,8444.598341115769,124.55067912401158,34.25186795370576,32.6444365802151,7.04409624323801,8446.50230606962,-2.9299661982340504,8.959718591226567,6.299999999999999,21.51690156950012,193.4270833333339,True,False,False,1143.7546824845192,1142.4589015695,941.6113365802152
17,,206.0,1554.7921,1281.8033,10.0,32.0,278.6624113105231,5.700000000000001,23.12655238431288,2.205796799086243,8523.229680240234,174.69688875094454,36.15261893948679,27.538836930007104,4.4454335680877595,8454.63736484907,-0.9102093992776923,2.385561401496468,5.700000000000001,22.98097036091637,301.5618289157819,False,False,True,1557.9186523843127,1557.7730703609163,1278.3421369300072
