name,color,line,x,y,w,h,amp_x,lx,x0,fwhm_x,off_x,amp_y,ly,y0,fwhm_y,off_y,smearing,fwhm_x_unsmear,lx_unsmear,x0_unsmear,amp_x_unsmear,l203,l214,l206,X_IMAGE,X_IMAGE_unsmear,Y_IMAGE
0,,206.0,1545.7032,69.826927,7.2,33.6,53.12325516161193,5.700000000000001,15.501185235364304,3.5642549376137374,8857.771004651026,50.53333333333267,38.32424086687879,33.14973438176823,7.544006558820362,8841.793339804733,0.0011773977040942935,3.563161242257079,5.7000058586523865,15.50130373797097,53.12834678376475,False,False,True,1542.6043852353644,1542.604503737971,71.17666138176824
0,blue,203.0,1372.9032,69.826927,7.2,33.6,47.6113794728566,5.700000018167393,17.215930688811206,4.41929221141562,8853.493799143833,44.53749999999873,39.41077137498937,33.68809733260522,5.800407873625872,8844.652237619754,-0.3206067011255928,4.42773524777613,5.700000004152434,17.17591840840965,47.714346528253905,True,False,False,1371.5191306888112,1371.4791184084097,71.71502433260522
0,red,214.0,1902.6312,68.626927,7.2,33.6,2346.0623229696457,6.29999999999956,17.573440173653307,4.658978972445505,9087.664146733781,2174.8369802729935,37.17207215358918,33.333942344312796,3.534637412733451,8881.545623422182,-0.9350010294683497,4.5159893597383585,6.299999999999994,17.15749755275072,2429.041516507482,False,True,False,1901.6046401736535,1901.188697552751,70.1608693443128
-1,,206.0,1566.5365,54.826927,7.2,33.6,56.48054715834071,6.299999999999964,16.07556540294619,5.263841232137904,8850.00419170718,59.09999999999818,52.37971621650734,36.37767262531753,9.235727067925037,8833.513626220021,-1.0713438011413974,4.78861376526749,6.299999999999998,15.489169936969413,58.48361645218852,False,False,True,1564.0120654029463,1563.4256699369694,59.40459962531753
-1,blue,203.0,1393.7365,54.826927,7.2,33.6,49.15105684939945,6.299999999999995,17.786506196323426,5.352955554582065,8851.834713470664,52.93333333333467,50.23781693721753,36.7662660428528,6.676725996149345,8841.958774011478,-2.0003655958490847,3.9574186818772414,6.299999999999999,16.543610356974646,56.48051758978075,True,False,False,1392.9230061963235,1391.6801103569746,59.7931930428528
-1,red,214.0,1923.4645,53.626927,7.2,33.6,2402.4103532695976,6.299999999999998,18.222120030747863,5.391663049389777,9003.805210963747,2178.0403653260987,49.50162043436815,36.65305462424769,3.257020725694905,8868.148074525581,-1.4500993775814854,5.095259917956049,6.2999999999999865,17.474446574767153,2514.9191919189298,False,True,False,1923.086620030748,1922.3389465747673,58.479981624247685
2,,206.0,1710.7032,360.66026,7.2,33.6,86.93784894889856,5.700000000107653,19.606966521962732,5.008731619910268,8845.714324729903,61.7809980027321,36.289303227848045,31.23468755038948,4.202215697254764,8847.865626020393,-2.0091840472696303,4.283993451471576,5.736896097314045,18.50002479366257,99.31235419053272,False,False,True,1711.7101665219627,1710.6032247936625,360.09494755038946
7,,206.0,1896.74,1371.5976,13.2,37.2,184.90415924622678,6.185665419150486,27.517996928540224,4.770503142341375,8859.255126209773,57.00512820512888,34.85750647463303,34.659860829009595,6.694949997035579,8852.352388698253,-3.3904839871459944,6.5817812568682825,5.809155756118149,26.49999242563769,209.22765413758407,False,False,True,1902.6579969285403,1901.6399924256377,1372.6574608290098
6,,206.0,1898.7642,1325.5154,14.4,34.8,134.16770603169326,6.29999999773244,33.292820638847175,17.39398437890461,8839.675233467535,44.499999999999275,0.05442226257019743,28.28014598143395,1.0319665891822356,8872.812659187297,-5.99548147141713,6.136460746930376,5.968066172969972,27.500014678316077,179.63885376036905,False,False,True,1909.8570206388472,1904.0642146783161,1321.3955459814338
8,,206.0,2038.0898,1520.1396,13.2,34.8,156.13333340724122,5.7000000000005615,19.806727972700088,3.1433227201445537,8861.070165344552,60.70000000000164,34.839342380605615,32.13078243587472,4.339788170904148,8842.932447082565,-2.9943161954842363,2.1817535317800316,5.700000000000001,17.9920053295541,156.13333333662544,False,False,True,2036.2965279727002,2034.4818053295542,1519.8703824358745
9,,206.0,1869.9298,1608.3396,10.8,40.8,123.41935238977872,5.816281760496772,14.404798617923298,4.739514750840705,8843.831727182904,73.75666666666676,33.850256418597326,39.23594392616165,10.282616881581701,8833.84386093981,-1.6365574156489744,3.2982966547288375,6.097302674410358,13.423298643632203,135.9186991869901,False,False,True,1863.934598617923,1862.953098643632,1612.1755439261615
11,,206.0,2093.1298,1699.5396,6.0,43.2,44.0380255729099,5.700000000000001,9.115289408487602,9.638478821832644,8843.257923038542,32.19999999999873,30.572591663370847,42.15807097336666,40.80535621700085,8824.166666666672,4.945757531754317,5.489623217204119,6.299999999999991,12.012485393193268,60.21705426356665,False,False,True,2084.2450894084877,2087.1422853931936,1705.0976709733668
10,,206.0,2081.7298,1661.7396,9.6,42.0,98.04865466977371,6.299999999999997,10.52893030703995,7.096607765157969,8840.57886115308,48.44000000000179,0.1608948026441453,39.22042277555513,1.2122224963545314,8853.012853864857,-1.8166092264570879,6.130197304912015,6.299999999994751,9.345340067545491,109.44998625590492,False,False,True,2072.45873030704,2071.275140067545,1664.9600227755552
13,,206.0,2075.4898,1829.1396,12.0,48.0,67.76313875283817,6.299999999999998,13.783730123583965,10.505023288071417,8840.381338698779,20.416666666666245,0.25603635092804045,37.78716563093112,5.896030884435243,8867.45438826952,-1.497729404051172,9.99999997368115,6.299999999996328,12.790315205670549,70.58333329811813,False,False,True,2068.273530123584,2067.2801152056704,1827.9267656309312
15,,206.0,1954.0018,1923.1716,5.76,46.08,66.03471105481843,6.299999999999755,11.781347003152705,5.4435477548066,8843.73150198393,38.81111111111296,4.474437879109164,40.70499196022022,49.36663650685579,8822.179739336507,0.006978689604563992,5.443618289441071,6.299999862544043,11.781346795466115,66.03461226537536,False,False,True,1947.9031470031525,1947.903146795466,1925.8365919602202
12,,206.0,1224.1858,1766.2516,14.0,34.0,111.74560493354218,6.299999999999419,15.944962860809634,9.47169027070926,8841.48034226816,80.33333333333321,29.973148013782648,26.38435698440159,11.64254421968332,8835.279391306089,-2.073360406182711,8.577071662272022,6.2389173656748005,14.499983639143927,119.18139019799216,False,False,True,1218.1307628608097,1216.685783639144,1760.6359569844017
2,blue,203.0,1537.9032,360.66026,7.2,33.6,73.68019069401433,5.700000000000026,21.008701314750706,4.765070610005431,8845.436918368856,51.15833333333423,32.09592159499514,30.33793699100673,7.9871880017331724,8842.922913443204,-2.1849744885580544,3.4197417063155764,5.735389281774338,19.78093673575207,87.47474747475094,True,False,False,1540.3119013147507,1539.084136735752,359.19819699100674
7,blue,203.0,1731.656,1372.0799,13.2,37.2,145.45185106223494,5.700000000000095,21.90775035995964,6.000577573995464,8842.926134204077,92.20256410256444,32.92721502113191,34.73989800939043,5.283460248746815,8850.768109919172,-1.462960339420544,5.3129675735020525,5.700000010798303,21.02078898458347,155.3070175438588,True,False,False,1731.9637503599597,1731.0767889845836,1373.2197980093904
6,blue,203.0,1738.985,1326.9621,14.4,34.8,150.56392942274178,5.700000000000024,19.954556872227627,4.672459226332772,8844.908992047871,78.81666666666698,33.92210938459897,31.792709811721966,4.667831287735577,8845.949643342316,-0.9110339382780771,4.301806065923517,5.700510793651328,19.49999729384561,154.1052379441506,True,False,False,1736.7395568722275,1736.2849972938454,1326.354809811722
8,blue,203.0,1867.2898,1520.1396,13.2,34.8,113.79121645782985,5.700000000008584,18.945913385369924,4.300486321992341,8842.822894527984,57.11011056422376,35.11154831368838,32.94297055013904,4.689419368011655,8844.705817812663,-0.9055827146752775,3.928384303261738,5.700000526671197,18.500003624478715,115.22999830833237,True,False,False,1864.63571338537,1864.1898036244788,1520.682570550139
9,blue,203.0,1697.1298,1608.3396,10.8,40.8,114.60129229687573,5.807147109691377,16.416940733961138,4.615527343174974,8842.547929830445,70.46666666666752,34.55207755599362,40.310869425388326,4.293058821600298,8841.75825815236,0.0457901571905478,4.615395549996206,5.807312721531449,16.416941070386173,114.60082357469443,True,False,False,1693.146740733961,1693.146741070386,1613.2504694253882
10,blue,203.0,1908.9298,1661.7396,9.6,42.0,82.14444444444472,6.299999999999999,26.9663100614518,19.999999999999996,8850.8778458911,55.32333333333427,31.37402404484838,46.201070926744094,37.601359076161295,8850.366666666678,-1.253215078056166,2.1113715705995815,5.700000000005391,13.219317572892109,82.14444445848696,True,False,False,1916.0961100614518,1902.349117572892,1671.9406709267441
13,blue,203.0,1902.6898,1829.1396,12.0,48.0,80.30069509585609,5.700000000000146,19.664321519109567,3.0123198684653962,8872.038083500413,27.338888888888324,34.8974688147457,47.82553590814818,49.999999944866374,8855.083333333345,-5.999999698292784,1.9181570576380114,5.700000000000001,11.030293625525102,80.30069660569501,True,False,False,1901.3541215191096,1892.7200936255251,1837.965135908148
2,red,214.0,2067.6312,359.46026,7.2,33.6,3525.488472965729,5.700000000000006,21.219541293227735,6.303228421825631,8879.386248507339,2157.5178234276405,35.21663364799293,31.04174609851789,4.502852824117633,8872.711405764052,-3.34050961434336,0.030262656751121112,6.29121630594545,19.123367863803985,3544.6363636363617,False,True,False,2070.2507412932277,2068.154567863804,358.70200609851787
12,red,214.0,1579.3858,1759.0516,14.0,34.0,6166.215686273294,6.299999999993828,19.71185421844206,8.708949089133764,8902.624845475264,5021.753385623759,29.926981465545403,33.42424766797381,8.142350391691119,8936.515730626094,-0.6807549750872244,8.591691420429562,6.281258542547273,19.50001410511888,6034.796818862155,False,True,False,1577.0976542184421,1576.885814105119,1760.4758476679738
16,,206.0,1653.0418,1983.6516,5.76,46.08,73.04496476150949,6.299999999980431,14.527767533916636,7.696028419418532,8842.543293247852,71.75000000000001,34.53050594675108,33.458911748444535,6.0920694600019525,8842.363195591164,-2.1190170009592193,6.574110550528796,6.299999999947825,13.118262959867911,82.92028984278785,False,False,True,1649.6895675339165,1648.2800629598678,1979.0705117484445
16,blue,203.0,1480.2418,1983.6516,5.76,46.08,69.73370165061743,6.299999999769545,16.575435997003897,8.170262180508963,8843.210892896597,83.37777777778149,33.337893799295294,33.882508983509375,7.93340120886279,8844.828544496391,-2.8390751036554867,6.723579876013416,6.299999999999877,14.693511450452332,81.32608695652196,True,False,False,1478.9372359970039,1477.0553114504523,1979.4941089835092
16,red,214.0,2003.4418,1976.4516,5.76,46.08,2746.456521739135,6.299999999999824,21.4776972759061,9.16445434979035,8861.811827155447,2397.392248807072,33.66441941497812,40.83509234089341,6.503239375869713,8859.048005234856,-5.999999999999999,0.05265326741631957,6.249846635764777,17.005617861685227,2746.4564528460414,False,True,False,2007.0394972759061,2002.5674178616853,1979.2466923408936
4,,206.0,1660.7416,968.91946,8.4,37.2,152.32010762477958,5.7000000000000055,16.086794817044478,4.5952710523986635,8843.501414940287,101.235845878761,35.29477127058232,35.22637341652439,3.901081179578024,8844.061700616947,0.8213064287003095,4.271431141379189,5.700000000000001,16.472219025796182,155.44668689611703,False,False,True,1657.6283948170444,1658.0138190257962,970.5458334165244
5,,206.0,1654.9416,1034.1195,10.8,62.4,179.94510547369887,5.70000000000022,19.954385771030655,5.964597661842989,8843.839640392001,132.41154768072388,55.96445573447379,46.025151796857024,5.612729743935462,8849.735070300781,-1.151011760261225,5.578019948807518,5.700000001081386,19.323502732595124,185.9892473118285,False,False,True,1654.4959857710307,1653.8651027325952,1033.944651796857
1,,206.0,1559.7699,171.66026,9.6,92.4,62.72859144757371,5.700000000000123,18.036115379432353,5.448962695344585,8847.228591402834,53.106666666666754,98.91583103311862,61.45464208585548,10.91879360522342,8835.677345608809,-0.9978222647242938,4.8627041421739055,6.068637308491222,17.50001734060472,63.00065768271277,False,False,True,1558.0060153794325,1557.4699173406048,171.9149020858555
1,blue,203.0,1386.9699,171.66026,9.6,92.4,53.39690568831563,6.29999999996413,19.794847598631343,5.5821427143028775,8845.821366743789,42.186666666667776,97.66772103909331,63.5199304434335,10.091362839258782,8842.698785272432,-1.702738867570632,4.60140421603993,6.299999999742925,18.731311209745368,58.60215053762672,True,False,False,1386.9647475986314,1385.9012112097455,173.9801904434335
4,blue,203.0,1491.9416,969.91946,8.4,37.2,133.90300574668436,5.700000000000023,14.157043996206022,4.852099850390311,8842.380366696822,65.10000000000001,34.258979484592984,34.18120188640658,7.2386802281498,8839.316647161564,1.0247908789657416,4.362243831927751,5.700000000000001,14.699740882044885,140.58135976802842,True,False,False,1486.8986439962061,1487.4413408820449,970.5006618864065
