name,color,line,x,y,w,h,amp_x,lx,x0,fwhm_x,off_x,amp_y,ly,y0,fwhm_y,off_y,smearing,fwhm_x_unsmear,lx_unsmear,x0_unsmear,amp_x_unsmear,l203,l214,l206,X_IMAGE,X_IMAGE_unsmear,Y_IMAGE
6,blue,203.0,1581.4001,438.48734,10.0,32.0,61.19998345542116,5.7000000000006485,19.539435812647845,3.817822482482328,8882.049761173195,50.98333333333376,37.440023803298836,26.195755139693677,7.487341201767808,8873.781610470305,-2.0910033422379994,1.232069159166108,5.738373670151729,18.301740831877588,69.50402258722359,True,False,False,1580.9395358126478,1579.7018408318777,433.6830951396937
8,blue,203.0,1614.2503,1413.95,10.0,32.0,103.23586544720237,5.70000000003494,17.394857367255582,4.661869711086932,8880.954596352878,72.42910902054275,36.113486676948035,38.35771754053298,4.577880823021009,8881.925469661235,1.027841722408143,4.178362716728893,5.700000000140316,17.93725207945462,109.35416666666889,True,False,False,1611.6451573672555,1612.1875520794545,1421.307717540533
12,blue,203.0,1538.6791,940.96851,10.0,32.0,134.63163171563505,5.700000000000002,19.63077418997073,3.4456663808459993,8878.816643063672,82.76415929131313,35.338345556339824,33.8294606096784,4.727867577343632,8880.566960438231,-0.856424885551568,3.0502166612299124,5.700000000000001,19.227973633073038,139.77577347699486,True,False,False,1538.3098741899707,1537.9070736330732,943.7979706096785
13,blue,203.0,1479.6569,1290.0381,10.0,32.0,148.48428000211936,5.700000000000013,16.383263089122153,4.549155536218704,8878.125960489113,77.71528824652633,35.14551386248396,34.074994768778915,4.196820488012189,8882.583703116594,-0.06821552576122594,4.549139449640247,5.700000000000001,16.38326952690985,148.48225832499443,True,False,False,1476.0401630891222,1476.0401695269097,1293.1130947687789
17,blue,203.0,1424.0527,731.9055,10.0,32.0,105.48403196193074,5.700000000000024,17.31653491143585,4.3229239344889185,8878.879515091765,62.720000000000255,36.97570862984073,34.24655113108341,3.636318807175873,8879.691670238726,-0.9621560202500423,3.85305274389312,5.700000000000001,16.825617244883077,111.05171957511644,True,False,False,1421.3692349114358,1420.878317244883,735.1520511310833
7,blue,203.0,1547.4651,1723.1032,10.0,32.0,124.97785272557768,5.700000000001861,22.013423683631014,5.6624496514718015,8877.420475762305,70.90986522697128,36.76340869543951,32.3406138114911,3.9059691187265586,8881.616316842874,-1.7618994300812372,4.781359219386071,6.297466812123888,21.048290047477554,135.03124999999997,True,False,False,1549.478523683631,1548.5133900474775,1724.443813811491
9,blue,203.0,1382.8661,1841.6037,10.0,32.0,79.83695200537696,6.29999999992171,21.140094370412303,7.138466713929681,8879.522574225453,66.89914964642628,36.68755601132036,22.9752469609056,6.7782518899717665,8879.54233748411,-2.555051895277642,5.585875351753149,6.2741037820308225,19.49996571794787,90.80112889034591,True,False,False,1384.0061943704122,1382.3660657179478,1833.5789469609056
10,blue,203.0,1401.0024,1018.0243,10.0,32.0,145.01559563782487,5.700000000000026,20.838544066873087,4.167471460632591,8879.721977678077,89.43116042078668,35.98794609540801,34.02048499157344,3.956205686367602,8880.459508919319,-1.4608084086355029,3.0564361338559998,5.700000000000001,19.992834128207363,159.96874999969316,True,False,False,1401.8409440668731,1400.9952341282074,1021.0447849915735
11,blue,203.0,1431.3872,1225.2708,10.0,32.0,140.05483672934653,5.700000000000001,16.33299296312425,4.665826904208994,8878.308286875594,75.4189560866659,36.68038286955774,34.8559481890603,4.687285274224581,8881.563509148655,-1.378562108928571,3.8252834231319497,5.700000000000001,15.533934559571776,152.34374999994068,True,False,False,1427.7201929631242,1426.9211345595718,1229.1267481890602
16,blue,203.0,1597.2186,554.72822,10.0,32.0,81.01200161135121,5.700000000000001,19.51348440910706,3.494360774158177,8880.973059515167,59.103333333334014,34.1089011707185,25.098599635734196,3.976890546311731,8878.830380331883,-1.1898382451209149,2.7135758582953184,5.700000000000001,18.887334313943562,87.04073869485443,True,False,False,1596.732084409107,1596.1059343139434,548.8268196357342
1,blue,203.0,1315.6516,1531.8371,10.0,32.0,125.72875492689666,6.299999999999991,18.401429494438784,6.903978466054206,8879.058050439817,109.43414432355999,36.38953295091143,36.96319650916782,7.505483571556401,8879.10505930551,-1.2208035344106676,6.520511124167865,6.299999999999999,17.68991075957051,131.06249999999815,True,False,False,1314.0530294944388,1313.3415107595704,1537.8002965091678
6,green,206.0,1744.1436,432.76853,10.0,32.0,79.84675732360422,5.700000000005663,27.75956360069867,3.5112482604627986,8881.414229952377,20.78999999999924,4.002865891646741,38.24518987307338,37.867050815996926,8871.233333333335,-5.966263142791028,4.168349974438531,5.897434872689135,24.500002214908246,88.5119104670142,False,False,True,1751.9031636006987,1748.6436022149082,440.0137198730734
8,green,206.0,1785.3981,1417.7387,10.0,32.0,119.88264423136549,6.182288149692364,17.349046374917187,4.350413277426191,8881.2465180459,77.01233440409278,35.50181975323531,33.96884968058351,5.681904382037646,8879.392843060756,0.01755600448270722,4.350179714025604,6.182539820295403,17.34904781969417,119.8815491091593,False,False,True,1782.7471463749173,1782.7471478196942,1420.7075496805837
12,green,206.0,1709.7365,940.77702,10.0,32.0,145.85722298470168,5.700000000000001,19.618453815907614,3.395855621794594,8881.120487136104,90.72579615619304,35.14415862752364,33.44187439284974,4.151834107503904,8881.02878862837,-0.5339235327871587,3.2426294810601655,5.700000000000003,19.449611918775453,147.08242644070197,False,False,True,1709.3549538159075,1709.1861119187754,943.2188943928497
13,green,206.0,1650.6167,1289.8221,10.0,32.0,164.9534360232996,5.700000000000052,16.31277905690442,3.9371422498394355,8881.460140534742,90.18069142108574,35.389150484737726,33.421568723375316,5.078177030772509,8877.613687586487,-0.8257945700743891,3.5965191383774613,5.700000000000001,15.929498718690608,171.51594181110136,False,False,True,1646.9294790569045,1646.5461987186907,1292.2436687233753
17,green,206.0,1595.1119,731.7257,10.0,32.0,110.33494776856496,5.700000000000001,17.390202652290803,4.129845985058985,8881.844952933283,73.03333333333377,37.028923781877175,34.359771859137496,3.1746693945441438,8875.749799997147,-1.2123211768806101,3.329443423861645,5.700000000000001,16.71907827513477,119.13885203159607,False,False,True,1592.502102652291,1591.8309782751348,735.0854718591374
7,green,206.0,1718.3211,1722.853,10.0,32.0,131.26052089147302,5.700000000007324,21.985972066084553,5.214300862520359,8880.954570483767,78.77333333333554,36.46095133342367,31.743666600683806,5.78571445742005,8880.304558846397,-1.6490184066690279,4.27416134488435,6.185496064836866,21.079005487247652,142.14583333333573,False,False,True,1720.3070720660844,1719.4001054872476,1723.5966666006839
9,green,206.0,1553.4605,1834.3956,10.0,32.0,101.00997409603046,6.299999999999004,21.940686308673474,6.6668330606357245,8878.050696600894,63.72333333333427,36.825013238603496,29.911626588931608,7.027313549091129,8881.344017548925,-2.3559496279741174,5.617451061532148,6.281398527128813,20.50001849075729,113.07415218774567,False,False,True,1555.4011863086735,1553.9605184907573,1833.3072265889316
10,green,206.0,1572.1152,1017.1911,10.0,32.0,169.71483512456484,5.700000000000002,20.77878130541408,4.081760858335539,8879.09159291814,106.53876510843834,36.21756586497686,34.54786049666175,4.620719895582449,8881.074065155835,-1.0738460518773183,3.546073709279263,5.700000000000001,20.21587460007442,179.34477228228843,False,False,True,1572.893981305414,1572.3310746000743,1020.7389604966618
11,green,206.0,1602.4325,1224.768,10.0,32.0,156.19750747614356,5.700000000000028,16.210426529050704,4.346270843533603,8880.646331126498,84.47541936715861,36.698911899099265,34.62933319425338,4.720682548233729,8879.464156249871,-0.024683624815378113,4.346972025133588,5.700000014755038,16.21046958491817,156.194772377131,False,False,True,1598.6429265290506,1598.642969584918,1228.3973331942534
16,green,206.0,1762.2471,545.68831,10.0,32.0,97.4196963141217,5.700000000000004,25.59004236845577,3.8482601654449544,8880.259904032619,33.59999999999873,2.72606982685841,33.615102870754704,40.75495858272459,8866.639145910212,-3.663942348456923,1.2339247371791946,6.299970887426907,23.71914075690405,112.093749999803,False,False,True,1767.8371423684557,1765.9662407569042,548.3034128707548
1,green,206.0,1486.745,1531.3678,10.0,32.0,150.32065480481646,6.299999999999923,18.524330419857534,6.211824042169228,8877.217939094196,122.68161361369545,36.54462025114471,37.55312762405899,5.813168338961055,8880.213761258367,-0.9966033805953015,5.90479044487041,6.29999999995895,17.993575416851844,155.8020833333111,False,False,True,1485.2693304198574,1484.7385754168517,1537.920927624059
6,red,214.0,2110.1621,429.07544,10.0,32.0,2291.3116420788256,5.700000000000156,20.11119126439308,5.02428134640472,8906.464031861107,1593.7540849723107,37.2450814471269,34.39996235345602,3.0330751813331847,8911.82364457774,-0.7142177982531696,4.890914178087913,5.700000000000047,19.84272764501899,2326.1517573480924,False,True,False,2110.2732912643933,2110.004827645019,432.47540235345605
12,red,214.0,2068.2991,940.37564,10.0,32.0,5406.03415935292,5.700000000000001,19.9812472158699,3.987812345847085,8945.820244855,3479.7859973338786,35.3464666130756,33.632706341291076,5.048810299390386,8927.097768431957,-0.6966443316213878,3.7961506405307652,5.700000000000001,19.750756804059673,5478.578782159312,False,True,False,2068.2803472158703,2068.04985680406,943.008346341291
13,red,214.0,2008.9747,1289.3694,10.0,32.0,5710.408388905444,5.700000000001379,16.45040986553384,5.363893916292153,8942.75851920664,3303.525618258301,35.77273932298481,33.53924195387081,5.36817158995405,8942.878699041785,0.3947408568315893,5.1877936055803495,6.211958251203654,16.500006849918325,5289.935311003911,False,True,False,2005.4251098655338,2005.4747068499182,1291.9086419538708
17,red,214.0,1953.6783,731.34882,10.0,32.0,4444.094177867787,5.700000000000001,16.792028071451792,4.850991437684453,8934.942208445496,2574.4397277279795,36.67805046352139,34.39525170510887,3.9807133361364238,8936.71241630357,1.275597265918661,4.326316296763888,5.700000000000006,17.454702993653477,4617.020833333335,False,True,False,1950.4703280714518,1951.1330029936535,734.7440717051089
7,red,214.0,2076.4616,1722.3287,10.0,32.0,4016.302083022678,6.29999999999791,21.650137662015208,6.494769157961176,8923.179088546916,2781.766500130004,36.46010312693168,32.28090574699727,6.914802605859215,8910.192238523325,-2.012206213483199,6.649697363367615,6.299999999987625,20.595767762709237,4016.3020833333335,False,True,False,2078.1117376620155,2077.0573677627094,1723.6096057469972
