Internal_count,mID_L,mRA_L,mDEC_L,mXmm_L,mYmm_L,xmm_L,ymm_L,mZ_L,mRMAG_L,mgNUVMAG_L
OVI8,41014580,36.918961,0.660290,0.605919,0.341189,0.601759,0.338847,0.934012,22.92,23.57
OVI9,41017936,36.936897,0.718811,1.375768,2.852429,1.366127,2.832439,0.954865,22.95,24.19
OVI10,41023132,37.047249,0.790226,6.112047,5.922314,6.063524,5.875297,1.000960,23.54,24.52
OVI11,41011454,37.089233,0.585889,7.914359,-2.866439,7.851713,-2.843750,0.936995,22.64,23.39
OVI12,41020098,37.094189,0.741866,8.126799,3.847170,8.061261,3.816144,1.021380,23.12,24.95
OVI13,41011336,37.142242,0.579529,10.189641,-3.140824,10.102479,-3.113957,1.052070,22.85,24.84
OVI14,41016305,37.162998,0.676824,11.080317,1.072922,10.983847,1.063581,0.929264,23.85,24.74
OVI15,41007569,37.196377,0.553333,12.513298,-4.265489,12.617378,-1.540776,0.955830,22.31,23.60
QSO1,-99,36.904720,0.800240,-0.007659,6.288950,-0.007602,6.311500,0.660000,0.070000,-99.00
QSO2,-99,37.056450,0.582092,6.448623,-2.993872,6.399571,-2.901632,0.707720,0.070000,-99.00
QSO3,-99,37.171380,0.513640,11.339234,-5.906584,11.233969,-5.782401,0.720000,0.070000,-99.00
