id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,doublons,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,DATE,IMG,EXPTIME,EMGAIN,PREAMP,VSS,IMNO,IMBURST,SHUTTER,ROS,TEMPDATE,TEMPTIME,TEMP,X_IMAGE,Y_IMAGE,NUMBER,xmask,ymask,Internal-count,FWHM_x,Amplitude_after_stack_x,Offset_after_stack_x,SumPix_x,MaxPix_x,SlitSize_x,Background_x,Background_var_x,X_IMAGE_var,SlitSize_var_x,FWHM_var_x,Amplitude_after_stack_var_x,Offset_after_stack_var_x,FlagFit_x,FWHM_y,Amplitude_after_stack_y,Offset_after_stack_y,SumPix_y,MaxPix_y,SlitSize_y,Background_y,Background_var_y,Y_IMAGE_var,SlitSize_var_y,FWHM_var_y,Amplitude_after_stack_var_y,Offset_after_stack_var_y,FlagFit_y,wavelength,id_slit,redshift
12,36.053532461646114,53.38839684527181,0.33284462529068115,-0.02210983341148904,-0.4652332140628535,105.0,0.0,1130.5,25.754146231003986,-3.52711789317985,0,True,-64,2,3216,2069,True,2018-06-12T03:44:33,image000025.fits,20,0,1.77,2,25,10,0,0,06/12/18,03:44:18,-155.14,1098.2759203802239,46.690108598524915,12,10.500079,10.500079,OVI7,3.201946796405711,0.4557057891149335,0.014288593999378894,-141191861.3,1.0,8.52901494807267,0.013016202500480939,7.272092656225851e-05,0.000798843116899239,0.005816765821534362,0.05050677083490095,6.520531699128498e-05,6.6796922602357564e-06,0,3.6127233504801413,0.16432100052488727,0.016071367792008087,-141191861.3,1.0,22.785637657444706,0.017490447047127627,7.602088959924217e-05,0.0015205973797342055,0.007550012053879984,0.09195730634504261,2.026396566112263e-06,1.5312053349067428e-05,0,0.21382,65,1.04476
13,393.2208975920728,53.4421170210392,0.2940016358413556,-0.18785255899274156,-0.3824994032895862,105.0,0.0,195.09999999999854,4.4284467007369495,-1.6156285550652363,0,True,-64,2,3216,2069,True,2018-06-12T03:44:33,image000025.fits,20,0,1.77,2,25,10,0,0,06/12/18,03:44:18,-155.14,1455.7813994244038,47.21923250695813,13,10.500079,10.500079,OVI7,2.480370189005533,0.4443481644400345,0.06084791447127468,-277142.3000000119,1.0,8.299198546369336,0.06049494695156616,0.0007369176018555987,0.0016877124567798696,0.010058012652727698,0.05473796691912226,0.00011386009361789983,1.5878111544638106e-05,0,2.309266356071002,0.1430779803776974,0.09811902524663811,85606.09999999404,1.0,22.623050924323824,0.09708811916726627,0.0019810102383197668,0.005623289787342401,0.025665663820601866,0.13052985867087077,7.096220462956949e-06,6.156353677045926e-05,0,0.20619,65,1.04476
14,559.7075303357992,54.426861499595994,0.3140440063800569,0.04509472756099938,-0.21936098902581355,105.0,0.0,204.79999999999927,5.358344750020387,-1.8225766305035804,0,True,-64,2,3216,2069,True,2018-06-12T03:44:33,image000025.fits,20,0,1.77,2,25,10,0,0,06/12/18,03:44:18,-155.14,1625.4736750363913,47.70647950992717,14,10.500079,10.500079,OVI7,2.465387348609657,0.4647764315175158,0.05289009855027892,-261814.90000000596,1.0,8.093544461314035,0.05205903674663954,0.0006802606279173491,0.0014707127974864758,0.008869081710770532,0.047568202210948894,0.00011527205631906359,1.4416957988770945e-05,0,2.2429071338724293,0.1419808444793087,0.11721798162206751,-96814.80000001192,1.0,23.291843601892136,0.11655662334071196,0.0014767708406068154,0.003157500434856371,0.014325908216432964,0.0689045747053103,3.876785566233655e-06,3.776020583789707e-05,0,0.20255,65,1.04476
19,116.73661094506656,99.31244053226992,0.37434863064611773,-0.11708299801689925,-0.3292350467082561,105.0,0.0,1188.5999999999985,28.297838990403832,-3.6293831779999812,0,True,-64,2,3216,2069,True,2018-06-12T03:44:33,image000025.fits,20,0,1.77,2,25,10,0,0,06/12/18,03:44:18,-155.14,1182.4351011813412,92.49285516026305,19,9.894054,9.894054,LyC10,2.894726652119827,0.47261659300966496,0.013441941954613455,157.89999997615814,1.0,8.284951479234053,0.012130164949220298,5.534938173759717e-05,0.0005824611526955144,0.0039244611343404795,0.028304514902646773,4.9997036629310854e-05,5.375596313024465e-06,0,3.196677951034244,0.16976655964966575,0.01464872966963602,-1545.0999999940395,1.0,22.57151346169617,0.014834224791543575,4.75449016377109e-05,0.0002939928045518917,0.0014208365593112674,0.013637751707247079,4.438844305978095e-07,3.4049872073809928e-06,0,0.21382,58,1.33579
21,644.8479872042916,99.46973180051654,0.2958645762113517,-0.032098302845266706,-0.6565641858946069,105.0,0.0,217.5,5.263662217744642,-1.8032200293659821,0,True,-64,2,3216,2069,True,2018-06-12T03:44:33,image000025.fits,20,0,1.77,2,25,10,0,0,06/12/18,03:44:18,-155.14,1710.080305876729,93.34184000535095,21,9.894054,9.894054,LyC10,2.3242407549929904,0.4348738439431846,0.07334744383103403,-148696.30000001192,1.0,8.377930033337742,0.0730206795076099,0.00065740311004311,0.0014914833512181017,0.008507473858061498,0.041119630813724196,9.149135944476281e-05,1.4556577073682857e-05,0,2.573852168744858,0.14741206282840888,0.06310732421291848,-283875.6999999881,1.0,23.06350153753851,0.06343887816979596,0.0010729420738626854,0.004125911488804206,0.01911749431734399,0.12026764842978857,5.091265167365421e-06,4.590549825604469e-05,0,0.20255,58,1.33579
31,452.78936947526563,135.44992282738946,0.27279158232077383,0.16179553776942887,-0.3036675997643082,105.0,0.0,207.59999999999854,5.209358623436218,-1.7919606405669073,0,True,-64,2,3216,2069,True,2018-06-12T03:44:33,image000025.fits,20,0,1.77,2,25,10,0,0,06/12/18,03:44:18,-155.14,1518.3556265298378,129.27384401965824,31,9.457518,9.457518,LyC9,2.594930819258274,0.4462291022579067,0.0455783726549164,-146227.60000002384,1.0,8.480948861789441,0.04671663198154865,0.0005915141656909272,0.0016222772804957938,0.00982434043286025,0.05834080317597453,0.0001071264057383351,1.548731924640494e-05,0,2.358510244881626,0.15520004283829986,0.05731374605193992,-154995.40000000596,1.0,23.002386679704983,0.05738007048331706,0.001608187897202879,0.0027852400005102373,0.012736790530546927,0.06748175150626161,4.0146184611542655e-06,3.6811252869714274e-05,0,0.20255,57,1.2949
34,274.729330141943,147.45140319007555,0.3100223323245743,0.08298124582095469,-0.060226933371306246,105.0,0.0,1200.0999999999985,29.913839424731457,-3.689680395162917,0,True,-64,2,3216,2069,True,2018-06-12T03:44:33,image000025.fits,20,0,1.77,2,25,10,0,0,06/12/18,03:44:18,-155.14,1340.0670062123206,141.84379574696712,34,9.238671,9.238671,OVI6,2.766832974955252,0.5347436439462886,0.012264549069862365,215503.69999998808,1.0,7.3800316086884825,0.011610258119993349,7.393986525010927e-05,0.0004285561026635061,0.0031063087269608027,0.02010034585451886,6.407654151126134e-05,4.1076775826489796e-06,0,2.7946893040160776,0.17440059096585825,0.023121013376854897,-208566.20000001788,1.0,21.904296419936337,0.022748301981904695,7.708964074670544e-05,0.0003138198255895614,0.0014813859987805314,0.010932696332636632,5.513102198923251e-07,3.967951598808791e-06,0,-1.0,-1,-1.0
35,631.7034583383138,148.41298524475732,0.40182927188571504,-0.03990179144640259,-0.299916482736102,105.0,0.0,205.09999999999854,4.747664703299395,-1.6912000999224954,0,True,-64,2,3216,2069,True,2018-06-12T03:44:33,image000025.fits,20,0,1.77,2,25,10,0,0,06/12/18,03:44:18,-155.14,1697.1831714669408,142.3729350604662,35,9.238671,9.238671,OVI6,2.703571076346246,0.4938638710487808,0.07114520383657784,-143906.0000000298,1.0,7.46899976989961,0.06968322407876414,0.0005213315011246683,0.0015153647290160614,0.01055938807264343,0.06582689684858264,0.0001810044062657842,1.2978009620960046e-05,0,2.7577655782643125,0.15668401718093775,0.08725806010866781,-281802.90000000596,1.0,21.67994089619438,0.08529894046417902,0.0018430475517000214,0.005454983327062666,0.025713531510320534,0.184866261535374,7.88266234814488e-06,5.480729854129356e-05,0,0.20619,64,0.958002
36,805.8253319972259,148.43533333751742,0.290996378320499,0.07441093862141995,-0.3997008645892766,105.0,0.0,214.59999999999854,5.557115686723748,-1.8621235947989643,0,True,-64,2,3216,2069,True,2018-06-12T03:44:33,image000025.fits,20,0,1.77,2,25,10,0,0,06/12/18,03:44:18,-155.14,1867.7144280930265,142.23937982703467,36,9.238671,9.238671,OVI6,2.3490218836675036,0.5019114641467027,0.05646947768468304,-152444.0,1.0,7.34817860549338,0.055471919539499905,0.0009335805908327919,0.0019972304493221576,0.012442059188459174,0.05999545472516364,0.00022793853924123376,1.9375936564730734e-05,0,2.1725609949081996,0.1484231280998055,0.08610488194841676,-224827.20000001788,1.0,21.96039526078919,0.08665368939715794,0.001249359081526302,0.005454968375597072,0.02473669620747132,0.11187798115326797,7.92537160384851e-06,6.274334554913093e-05,0,0.20255,64,0.958002
43,390.83197280732276,187.36802313502807,0.31212494469457847,-0.15714674065268142,-0.40980795554444316,105.0,0.0,214.89999999999964,4.846600309468084,-1.7135930142595281,0,True,-64,2,3216,2069,True,2018-06-12T03:44:33,image000025.fits,20,0,1.77,2,25,10,0,0,06/12/18,03:44:18,-155.14,1455.9517737144727,181.25689934343484,43,8.786011,8.786011,OVI5,3.098571012341044,0.4854141586059664,0.051935257289489965,27728.19999998808,1.0,7.822235931956821,0.05105372717885112,0.0006564816837427294,0.0019444061027448383,0.015154651339521354,0.1211492794518099,0.00023052308353476995,1.574159560532269e-05,0,2.96702169381849,0.15517344668614952,0.053048593900786235,-245418.30000001192,1.0,22.761759711378385,0.052103783584492545,0.0010137056081243627,0.0038028611807710737,0.018087609086156635,0.15018061148092346,4.908279591033708e-06,4.006529566068134e-05,0,-1.0,-1,-1.0
