name,color,line,x,y,w,h,amp_x,lx,x0,fwhm_x,off_x,amp_y,ly,y0,fwhm_y,off_y,smearing,fwhm_x_unsmear,lx_unsmear,x0_unsmear,amp_x_unsmear,l203,l214,l206,X_IMAGE,X_IMAGE_unsmear,Y_IMAGE,X_IMAGE_rot,Y_IMAGE_rot
4,red,214.0,1651.6324,1788.2865,10.0,20.0,582.3490197265982,6.299999999999044,21.21199707788856,6.353892488206906,7051.044815049124,464.96114852583764,22.92742310400416,23.071457039754467,3.7315148235277524,6997.226780416376,-1.6242827818490373,6.2179757359071735,6.299999999999977,20.35625089108294,596.6499999999995,False,True,False,1652.8443970778885,1651.988650891083,1786.3579570397544,1656.8932567882546,1782.6031771655253
7,red,214.0,1446.359,1662.6198,10.0,20.0,598.9013638091644,6.299999999999999,23.474088382165043,8.750094916853719,6979.630574039029,402.43758879764766,21.45128123871631,24.02436483761437,6.9831259327379325,6982.006810801049,-3.7700616720074955,9.999999999999998,6.299999999999999,21.965801635140295,622.9500000000006,False,True,False,1449.833088382165,1448.3248016351401,1661.6441648376144,1453.5995042711388,1658.3503236316985
9,red,214.0,1692.029,1555.1498,10.0,20.0,718.6759926873327,6.299999999999999,20.756940606781285,6.454724813171637,7060.101441955555,1317.9896561007035,1.0715215947230166,5.421881076380407e-29,36.25912696055797,7070.603251403686,-1.3582837924435478,6.522543734095071,6.299999999816275,20.08172870239111,745.899999913804,False,True,False,1692.7859406067812,1692.110728702391,1530.1498,1696.25338013734,1526.3050551998683
10,red,214.0,1320.819,1525.0798,10.0,20.0,470.45000000000067,6.299999999999999,19.710754407656037,11.540100390057503,6973.590373489733,480.02169567661355,21.877998778840652,27.875030929500017,9.190709790261847,6979.117442612528,-2.350583109069986,9.999999999999998,6.299999999999999,18.32032367721067,470.45000000000067,False,True,False,1320.529754407656,1319.1393236772105,1527.9548309295,1323.9931719090582,1524.9547135488754
11,red,214.0,1271.799,1496.2698,10.0,20.0,416.24999999999994,6.2999999999998515,20.02892741298063,13.61875738219586,6975.559692761143,465.83865182191823,20.885921308811795,24.817458742999367,12.118865409628702,6968.6974522797245,-3.429492939977148,9.999636414237143,6.299995880761195,17.500084770593467,416.24999999999994,False,True,False,1271.8279274129807,1269.2990847705935,1496.0872587429994,1275.2191651080022,1493.197724235471
13,red,214.0,1585.189,1435.2998,10.0,20.0,658.3664533876104,6.299999999999999,22.587121045752408,6.412948522797212,7040.9266099237775,479.2195844245905,22.39663223846189,22.019644423201044,5.133214075468608,6994.419841052631,-2.2551506344149344,6.886176168552151,6.279390680596267,21.50008790627639,678.8870448935905,False,True,False,1587.7761210457525,1586.6890879062764,1432.319444423201,1591.0218610280108,1428.7132109583254
16,red,214.0,1424.6908,1215.8554,10.0,20.0,491.95346058677393,6.299999999999999,17.81225912037202,8.908102062026083,7003.190569106825,460.6186750647139,21.767355025411543,25.7285232177797,8.419498628554171,6973.553867314769,-1.2372989554719407,8.71787342000531,6.299999999999935,17.114758936891853,504.64292832096834,False,True,False,1422.5030591203722,1421.8055589368919,1216.5839232177796,1425.2597365675251,1213.3532374202703
17,red,214.0,1403.4808,1200.6754,10.0,20.0,483.4957074185002,6.299999999976042,18.235335041786982,8.775993429609215,7013.501120901575,456.8554347822403,22.1660419133801,25.720738209015536,8.072891228725199,6981.243336944388,-1.3067156546127607,8.620457939783654,6.2999999999999945,17.49865916341676,494.15195579454104,False,True,False,1401.716135041787,1400.9794591634168,1201.3961382090156,1404.4384060333005,1198.2126554992915
20,red,214.0,1509.4974,1102.0998,10.0,20.0,507.58254791249294,6.2999999999996525,18.909644954912313,8.03624835449997,6972.682899023442,459.5523725078438,22.773317400648285,20.33481004783384,5.611663481174005,6980.74704335893,-1.2196344297885864,7.891078202963945,6.299999999999983,18.24614525408844,510.4000000000005,False,True,False,1508.4070449549122,1507.7435452540883,1097.4346100478338,1510.8931602996577,1094.0093211486658
23,red,214.0,1570.9534,925.47973,10.0,20.0,544.5516310583222,6.299999999999999,18.962954609919564,7.00199831763025,6974.0310274296535,447.3489383567104,22.341038471673556,30.613596559679678,4.624806003808235,7044.1093455795235,-1.0480685986043765,6.789962649553395,6.2999999999994944,18.416275964379224,551.9499999999853,False,True,False,1569.9163546099196,1569.3696759643794,931.0933265596797,1572.0248955522854,927.5289057487615
