MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,Z_VALUE,FLUX_V,FLUX_g,FLUX_r,BIBLIO,OTYPE_2,RA_2_A_ICRS_J2000_2000_d,DEC_2_D_ICRS_J2000_2000_d,SCRIPT_NUMBER_ID,Z,url,coord_x,coord_y,x_mm,y_mm,nuv_mag,slit_width,slit_length,yline_mm,NUV_ned,FUV_ned,spectra
SDSS J153851.53+471759.8,234.71472911849,47.29996251323,14,14,3.2990000247955322,2.8129000663757324,90,C,O,2020yCat.1350....0G,Galaxy,0.07108,,18.04599952697754,17.2450008392334,2017A&A...599A..71D|2014ApJ...788...45T,Galaxy,234.71472911849,47.29996251323,1,0.07108,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.7147291d47.2999625d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,9.42544004643067,-13.6149112477791,9.322279501926811,-13.465897339592981,0,0.075,0.24,-14.41235988831202,99.9,99.9,None
SDSS J153841.21+475310.0,234.671712,47.886115,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.304479,,19.57040023803711,19.21540069580078,2020ApJS..250....8L,QSO,234.671712,47.886115,1,1.304479,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.6717120d47.8861150d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.30</a>,-12.75372955211642,-2.1361154928935555,-12.634463551469015,-2.1161396928174048,0,0.075,0.24,0.3802080628572386,20.4344,21.0128,None
SDSS J154126.47+474229.2,235.360293,47.708139,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.27592,,20.676700592041016,20.391700744628906,2020ApJS..250....8L,QSO,235.360293,47.708139,1,1.27592,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.3602930d47.7081390d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.28</a>,3.637244834623248,11.135412574664056,3.604856529538639,11.036255889835449,0,0.075,0.24,11.955725829646015,20.9957,99.9,None
2MASX J15404538+4752036,235.18917236254,47.86765058536,14,14,0.4553000032901764,0.4887000024318695,90,A,O,2020yCat.1350....0G,Galaxy,0.07059,,17.604999542236328,17.229999542236328,2017A&A...599A..71D|2014ApJ...788...45T,Galaxy,235.18917236254,47.86765058536,1,0.07059,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.1891724d47.8676506d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,-4.683901021422033,10.258472828184,-4.642894108566989,10.16866130155967,0,0.075,0.24,9.165563191075748,99.9,99.9,None
2MASX J15402775+4716436,235.11595,47.278845,7,7,61.0,55.0,0,C,O,2012ApJS..203...21A,Galaxy,0.10962,,18.569000244140625,17.77199935913086,2017A&A...599A..71D|2014ApJ...788...45T,Galaxy,235.11595,47.278845,1,0.10962,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.1159500d47.2788450d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.11</a>,15.99965086413294,-4.038616479466361,15.824990229708252,-3.9945288101483456,0,0.075,0.24,-0.4864310518908854,99.9,99.9,None
SDSS J154008.48+471418.4,235.035366,47.23845,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.322488,,21.95549964904785,21.466899871826172,2020ApJS..250....8L,QSO,235.035366,47.23845,1,1.322488,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.0353660d47.2384500d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.32</a>,16.328955364190954,-6.9131790885321385,16.14045581426038,-6.833374158105573,0,0.075,0.24,-3.3426641143292,99.9,99.9,None
SDSS J153837.74+475523.6,234.65725323625,47.92323528377,14,14,0.5817999839782715,0.5993000268936157,90,A,O,2020yCat.1350....0G,QSO,1.301,,20.30340003967285,19.948400497436523,2020ApJS..249...17R|2020ApJS..250....8L|2018A&A...613A..51P|2018ApJS..235...11C|2017A&A...597A..79P,QSO,234.65725323625,47.92323528377,1,1.301,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.6572532d47.9232353d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.30</a>,-14.326302783037434,-1.6975044903629524,-14.183602102336328,-1.6805960772199056,0,0.075,0.24,0.6236595911481055,21.208,99.9,None
2MASX J15414316+4743505,235.42972871017,47.7304875441,14,14,8.914999961853027,11.023099899291992,90,C,O,2020yCat.1350....0G,Galaxy,0.11257,,17.36400032043457,16.910999298095703,2017A&A...599A..71D|2014ApJ...788...45T,Galaxy,235.42972871017,47.7304875441,1,0.11257,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.4297287d47.7304875d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.11</a>,3.7952369800844488,13.333396912072285,3.7583347365817374,13.203752238459138,0,0.075,0.24,17.05281919509698,19.0876,19.4424,None
BPS BS 17446-0079,234.35683369157,47.45792495574,14,14,0.013199999928474426,0.015300000086426735,90,A,O,2020yCat.1350....0G,Star,,13.8100004196167,13.770000457763672,13.930000305175781,1996ApJS..103..433B,Star,234.35683369157,47.45792495574,1,,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.3568337d47.4579250d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             nan</a>,-1.582648470130743,-19.125215946791123,-1.563109449380193,-18.88910034797325,0,0.075,0.24,0.0,16.0061,17.7317,None
SDSS J153906.23+471226.1,234.775989,47.207271,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.294242,,21.3257999420166,20.67329978942871,2020ApJS..250....8L,QSO,234.775989,47.207271,1,1.294242,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.7759890d47.2072710d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.29</a>,13.724953480014777,-14.066689162321598,13.55183639496958,-13.889261659374945,0,0.075,0.24,-11.958147217226722,99.9,99.9,None
BPS BS 17446-0081,234.68611536517,47.22417023294,14,14,0.012400000356137753,0.013500000350177288,90,A,O,2020yCat.1350....0G,Star,,14.289999961853027,14.319999694824219,14.359999656677246,1996ApJS..103..433B,Star,234.68611536517,47.22417023294,1,,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.6861154d47.2241702d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             nan</a>,11.797721224413081,-15.951201152706657,11.647616336937174,-15.748250666880805,0,0.075,0.24,0.0,16.4493,18.9319,None
LEDA 2298819,235.466666,47.471434,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.10973,,17.45400047302246,16.493000030517578,2018MNRAS.481.2458D|2003A&A...412...45P,Galaxy,235.466666,47.471434,1,0.10973,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.4666660d47.4714340d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.11</a>,13.900774212495723,8.802946837692698,13.749352249821246,8.707055812696098,0,0.075,0.24,12.227867676655851,99.9,99.9,None
SDSS J154138.67+474908.3,235.41112475779,47.81898541051,14,14,0.23589999973773956,0.2418999969959259,90,A,O,2020yCat.1350....0G,QSO,1.047,,19.95400047302246,19.597000122070312,2020ApJS..249...17R|2020ApJS..250....8L|2018A&A...613A..51P|2018ApJS..235...11C|2017A&A...597A..79P,QSO,235.41112475779,47.81898541051,1,1.047,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.4111248d47.8189854d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.05</a>,0.25943448978474315,14.73462164790633,0.25681535072245704,14.58586724305423,0,0.075,0.24,17.988410619390198,20.36,99.9,None
LEDA 2293605,234.956873,47.174052,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.10686,,17.273000717163086,16.301000595092773,2018MNRAS.481.2458D|2003A&A...412...45P,Galaxy,234.956873,47.174052,1,0.10686,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.9568730d47.1740520d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.11</a>,17.569240030119175,-10.248055533131309,17.340451624330388,-10.114604326144516,0,0.075,0.24,-6.9255150382362025,99.9,99.9,None
SDSS J153810.25+471444.2,234.542747,47.245638,7,7,,,0,C,O,2020ApJS..250....8L,QSO,0.958622,,22.266000747680664,21.958900451660156,2020ApJS..250....8L,QSO,234.542747,47.245638,1,0.958622,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.5427470d47.2456380d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.96</a>,8.921431169907773,-19.069257595497326,8.80133315134208,-18.81255213993512,0,0.075,0.24,-20.94269645803518,99.9,99.9,None
SDSS J154052.52+471339.4,235.21884911084,47.22761030059,14,14,15.716400146484375,14.933799743652344,90,C,O,2020yCat.1350....0G,Galaxy,0.10867,,18.198999404907227,17.415000915527344,2016ApJ...833...19P|2014ApJ...788...45T,Galaxy,235.21884911084,47.22761030059,1,0.10867,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.2188491d47.2276103d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.11</a>,19.370000629333166,-2.5458065234668954,19.1269983181071,-2.5138686376105563,0,0.075,0.24,0.8844254804904899,21.0196,99.9,None
LEDA 2293374,234.98536325503,47.16034302906,14,14,3.4347000122070312,4.09689998626709,90,C,O,2020yCat.1350....0G,Galaxy,0.10662,,17.655000686645508,16.795000076293945,2018MNRAS.481.2458D|2014ApJ...788...45T|2003A&A...412...45P,Galaxy,234.98536325503,47.16034302906,1,0.10662,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.9853633d47.1603430d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.11</a>,18.48655153139527,-9.825795281895145,18.239047192354242,-9.694244139830177,0,0.075,0.24,-6.532894718908736,20.4572,20.7141,None
SDSS J154115.65+471535.6,235.31524120358,47.25991559004,14,14,3.062700033187866,3.3176000118255615,90,C,O,2020yCat.1350....0G,Galaxy,0.067,,18.11199951171875,17.395999908447266,2017A&A...599A..71D|2014ApJ...788...45T,Galaxy,235.31524120358,47.25991559004,1,0.067,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.3152412d47.2599156d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,19.559566629000003,0.5539691717819064,19.3138350745156,0.547009523426683,0,0.075,0.24,-0.8710307640693242,20.6387,20.5342,None
SDSS J153717.00+472259.7,234.32084765588,47.38326920582,14,14,0.44920000433921814,0.40610000491142273,90,A,O,2020yCat.1350....0G,Seyfert1,0.7082,,20.07040023803711,20.035400390625,2020ApJS..249...17R|2020ApJS..250....8L|2018A&A...613A..51P|2018ApJS..234...16C|2018ApJS..235...11C|2017A&A...597A..79P|2017ApJS..229...39R,Seyfert1,234.32084765588,47.38326920582,1,0.7082,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.3208477d47.3832692d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.71</a>,0.63064603748359,-21.628886689034122,0.6219219101907222,-21.329680558395335,0,0.075,0.24,-20.324001137529876,20.9442,99.9,None
SDSS J154216.22+472904.7,235.567599,47.484662,7,7,17.0,17.0,90,C,O,2012ApJS..203...21A,Galaxy,0.10639,,17.951000213623047,17.20199966430664,2014ApJ...788...45T,Galaxy,235.567599,47.484662,1,0.10639,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.5675990d47.4846620d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.11</a>,14.84472710408983,11.60532331858486,14.66438166872167,11.464332711495707,0,0.075,0.24,14.599098093221377,20.035,20.8133,None
SDSS J154156.37+475053.3,235.484895,47.848151,7,7,,,0,C,O,2020ApJS..250....8L,QSO,0.928281,,21.06529998779297,20.960100173950195,2020ApJS..250....8L,QSO,235.484895,47.848151,1,0.928281,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.4848950d47.8481510d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.93</a>,0.2228415766335461,17.180042557394508,0.2203329110409129,16.986636181911067,0,0.075,0.24,12.957068055432394,21.3619,99.9,None
