id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,doublons,X_IMAGE,Y_IMAGE,NUMBER,xmask,ymask,Internal-count,FWHM_x,Amplitude_after_stack_x,Offset_after_stack_x,SumPix_x,MaxPix_x,SlitSize_x,Background_x,Background_var_x,X_IMAGE_var,SlitSize_var_x,FWHM_var_x,Amplitude_after_stack_var_x,Offset_after_stack_var_x,FlagFit_x,FWHM_y,Amplitude_after_stack_y,Offset_after_stack_y,SumPix_y,MaxPix_y,SlitSize_y,Background_y,Background_var_y,Y_IMAGE_var,SlitSize_var_y,FWHM_var_y,Amplitude_after_stack_var_y,Offset_after_stack_var_y,FlagFit_y,wavelength,id_slit
22,364.12924143261733,29.241463651423608,0.3516227900172679,-0.09273572105125438,-0.4215318473533389,105.0,0.0,809.1999999999998,18.997863264034958,-3.1967618938527806,0,1426.034011056351,22.676724504673178,22,12.13,12.13,QSOgal,4.503492274223611,0.5030189035910378,0.022918858398682677,-58759653.099999994,1.0,8.106763737900204,0.02217005672631531,0.00025090555729859426,0.0014003774687367835,0.026286486318822563,0.33706427821121066,0.0004303738896738289,9.518046705654619e-06,0,3.840374958083657,0.14443658445479107,0.15250471372773483,-58759653.099999994,1.0,22.395094281649786,0.15256024086615236,0.002478715725618112,0.007000802172160249,0.03540165669690686,0.48514525190002894,7.241706849236813e-06,4.9505029465240734e-05,0,0.21382,76
23,717.9827340145571,29.407811376419783,0.23158659930155073,-0.10089352344728722,-0.5339364899516109,105.0,0.0,111.10000000000036,2.8155461304699094,-1.123906618257039,0,1783.001371847815,23.616851149033998,23,12.13,12.13,QSOgal,4.273803713667654,0.43483746855994937,0.13272359912176948,-58759653.099999994,1.0,7.8502838728436455,0.13284684435426627,0.0073303580875411925,0.03428544957399597,0.5932233677722394,7.055296970241983,0.007704533949963992,0.0001697113302092596,0,4.490865737177448,0.09090825466005446,0.41115097435428527,-58759653.099999994,1.0,23.47010712565411,0.4111210410445324,0.027505260408648296,0.16462828740291394,0.8657271774197884,16.097176885569773,6.055653856415424e-05,0.00046515986486800716,0,0.20619,76
24,888.6547635333853,30.29405507904886,0.23561297252826302,-0.29906551048298763,-0.796545807003615,105.0,0.0,90.35000000000036,2.282390424921871,-0.8959748417545186,0,1952.8551650605214,23.693076659776267,24,12.13,12.13,QSOgal,3.471677490920377,0.37087227460495303,0.15062900954544092,-58759653.099999994,1.0,8.244341401660124,0.149091498157829,0.009305345096961902,0.043657063905915644,0.37486536167536294,3.683400798017917,0.003025122914725189,0.00020938150636694956,0,3.9988963559645914,0.08362343605582306,0.4566911662043609,-58759653.099999994,1.0,23.48440440028493,0.4523945781109355,0.023306439469406907,0.15027990709775774,0.7631954942454955,11.33314957072082,4.813597121580826e-05,0.0003928980389387792,0,0.20255,76
29,315.1563653076533,46.40371426583039,0.2224345665969235,-0.0955854168284327,-0.7551416406481588,105.0,0.0,127.44999999999982,3.3760593607428,-1.3210251853878907,0,1377.8106243181237,40.31456083866153,29,12.030937,12.030937,45,2.8204432710696983,0.39464652460002897,0.10310537472134008,-58759653.099999994,1.0,8.486085805808743,0.10130193733258887,0.0058460758543901065,0.018423571819526852,0.11875376715602884,0.8213774243746628,0.0010059496323876023,0.00012782225597761572,0,2.0469636658120454,0.13229810131479533,0.05840125130131692,-58759653.099999994,1.0,22.880419164854857,0.05741917097969052,0.0008943432924154632,0.0056139191854992325,0.025198388401039544,0.09975790573778012,6.4365563077836295e-06,6.023259574453364e-05,0,0.20619,44
34,991.4563240010217,64.70258432262511,0.35628578480421186,-0.17282246514517302,-0.7971772618137267,105.0,0.0,101.60000000000036,2.388922369046425,-0.9455050926223331,0,2056.6092175443205,71.70258432262511,34,11.233969,11.233969,QSO 3,3.580191935240104,0.3864328346542658,0.15794871264510868,51639.45000000298,1.0,7.914488411005263,0.1572782891473276,0.006620516395957352,0.035588529251765255,0.3515407807422697,3.5383806083490117,0.0033929289128665583,0.000165160246238134,0,32.12730380879668,0.4765255123182174,0.030332902845562847,36970.35000000894,1.0,16.000000081843893,nan,nan,1.776378517039695,1121426.657741174,29012300.636678834,4036.4995121941374,0.13544908326775992,0,0.20255,70
35,465.3980189869768,65.60730613959453,0.36540331755877464,0.11708392849803195,-0.298635885494401,105.0,0.0,886.6000000000004,19.58276629066789,-3.2296851022114277,0,1528.8397001042167,72.60730613959453,35,11.233969,11.233969,QSO 3,5.9332353575419985,0.5866294516817406,0.01764682604604577,365690.10000000894,1.0,7.6478144309674585,0.01819691757670125,0.00017973254784098476,0.0017283284817821293,0.20711055244437862,2.0399560202516485,0.005192390064812978,1.0524172987054368e-05,0,35.98767511611509,0.3472768149805215,-0.17892529728283896,77908.64999999851,1.0,23.99999999788612,nan,nan,1.5891229208074462,280355.4285427953,22269695.43571393,250.4701411708017,0.6731332603988343,0,0.21382,70
47,728.8203739981781,87.84628315433183,0.27223579821730076,-0.04670766264322971,0.11914927670148895,105.0,0.0,98.25,2.2219398227914082,-0.8668307317151722,0,1794.2685462501054,81.6841650646155,47,11.37,11.37,QSOgal,4.622889970131666,0.37549579669018995,0.13099375056477272,55057.85000000894,1.0,8.295833083244748,0.13332236397356392,0.008240052235987514,0.053080665265220775,1.0093454203933376,13.589785821864186,0.008803289448096704,0.00020694091841579065,0,4.299941220632262,0.1363593696314306,0.1276501263318674,-70803.44999999553,1.0,22.240859023736665,0.126747827251873,0.0039345946434279485,0.020821216966832038,0.10900016076573792,1.8587163177546786,1.8882197811729185e-05,0.00011797187070290916,0,-1.0,-1
48,899.8068062386868,89.26975023368195,0.3672894430536148,0.14154196101612904,-0.7028743150016711,105.0,0.0,101.15000000000055,2.3863219851798556,-0.9443226060395128,0,1964.50632837944,82.26975023368195,48,11.37,11.37,QSOgal,3.8886426302507764,0.3557323244784999,0.17510603197328678,50957.60000000894,1.0,8.16270280413055,0.1747230462273161,0.007983239790786028,0.04825611754140435,0.5403985132782504,6.196483275541708,0.004209156177868259,0.00018907059418522333,0,2.833205412678645,0.14198280360963195,0.09138299305660713,512710.3000000119,1.0,22.630282423861594,0.0910717812006365,0.003036722082990391,0.01150557024340001,0.054281199163176204,0.411828653153946,1.2799208687681133e-05,0.00010391792524194575,0,-1.0,-1
49,466.26991530509673,97.17374257265308,0.34224016094138987,0.03032845579918444,-0.21033178537251207,105.0,0.0,810.1500000000005,17.990095118744176,-3.1375836489748448,0,1529.585537797195,90.17374257265308,49,11.233969,11.233969,QSO 3,6.08598051675947,0.6010985034765896,0.023696846981575023,342576.90000000596,1.0,7.426950243227464,0.024388628647367322,0.00019219333583593077,0.0020326795720392666,0.34938704677913024,3.0734682363943886,0.009684073612934527,1.16559180949267e-05,0,32.77424957621006,0.31193808051756877,-0.11843142608830783,-70156.19999998808,1.0,23.999997988596267,nan,nan,1.4233789373037715,74244.39585976808,6363290.964480237,54.46042214041852,0.27513581781568225,0,0.21382,70
50,819.7689495042175,98.39396164222812,0.5187685182192969,-0.11803246691620833,-0.744972041984615,105.0,0.0,130.35000000000036,2.85404167585172,-1.1386507764142308,0,1886.0809741584844,91.39396164222812,50,11.233969,11.233969,QSO 3,5.185514555769147,0.3998041692959282,0.13887497330464246,49927.45000000298,1.0,8.319104847983747,0.13969980309606447,0.007769762034390752,0.04976898797069447,1.6067159544514522,21.864263773469396,0.016015084125520315,0.0001995926313190893,0,41.15674695838111,0.3300733656708185,-0.14287140133949663,4675.600000008941,1.0,23.999999999914134,nan,nan,2.2503096260643813,2507511.3913388136,179946967.02523348,1983.0201885096253,2.046645937131832,0,0.20619,70
51,990.7373772196297,98.37934716681008,0.3818915110857012,-0.22179022600206455,-0.2505985207348324,105.0,0.0,107.35000000000036,2.836129428871323,-1.1318151157856797,0,2056.55207688815,91.37934716681008,51,11.233969,11.233969,QSO 3,3.4048258735910215,0.39513977998485345,0.16030399026708275,44731.80000000447,1.0,7.764522631712819,0.15607085473984697,0.00889815745147422,0.04512464481518689,0.4174357288516078,3.8647808170107067,0.004346212946070633,0.00021940927309425177,0,37.5385165406037,0.28400720512223454,-0.08970008238554243,-38767.79999999702,1.0,23.999998964224694,nan,nan,2.0457346876439533,637111.1105327416,48966901.1281558,378.03420020983424,0.7574211449255286,0,0.20255,70
54,4.315832122766882,125.46704727952454,0.28593690660745946,0.3222449383528343,0.6597074248228342,105.0,0.0,848.4499999999998,32.905583745983655,-3.7931739990017768,0,1070.1965754059,120.09794854030123,54,10.983847,10.983847,OVI 14,1.8814930128615739,0.3585758264727722,0.4535280468538185,-58759653.099999994,1.0,5.6000000000000005,0.4526540303829501,0.0176180623990256,0.09313222528800157,0.6061400375097596,1.8812195207483577,0.00979454686113912,0.00031820842838012516,0,2.9009424045817283,0.1687774098265969,0.02609493869464381,-58759653.099999994,1.0,22.749008456915092,0.025900436173802478,0.00012502216377283272,0.00039228272117830374,0.0018579440237257146,0.014763555921691726,6.058455468758783e-07,4.976075991851708e-06,0,0.21382,66
56,358.74521364398817,127.41239114247504,0.2981129743788543,-0.01825159174702209,-0.5031226501830955,105.0,0.0,121.94999999999982,3.411397078946072,-1.3323306831259547,0,1424.5959401853645,120.70065094161563,56,10.983847,10.983847,OVI 14,3.20784426054006,0.36594068245475153,0.13790731147417776,141258.4000000134,1.0,8.534153002848985,0.13530315058497566,0.005226447811479798,0.023736258130554275,0.17309311314347287,1.5080402026318638,0.0012498318387022553,0.00012794715889511213,0,2.245450085869355,0.14125701999426238,0.11401399166362258,178391.60000000894,1.0,22.610282443979145,0.11413197394505686,0.0018287407421374744,0.006175802374893276,0.02807801306634323,0.13524781228682717,7.728882875096107e-06,6.745960426873378e-05,0,0.20619,66
57,529.8680425058991,127.52492770862027,0.20534371774958082,-0.021166178723271346,-0.6330106160733652,105.0,0.0,105.05000000000018,2.861263463004674,-1.141394622895781,0,1595.013733452075,120.52492770862027,57,10.983847,10.983847,OVI 14,3.5399532308411654,0.374247745231231,0.142047567150375,14650.55000000447,1.0,8.36761930756157,0.13866727978106552,0.007558460433505241,0.035019985471746236,0.3032219655749299,3.093057417695292,0.0024209159156892398,0.00017369906044204146,0,2.251289385835285,0.14318609648853403,0.11332032645675076,9754.10000000894,1.0,22.873154527558317,0.11049809908518758,0.002912830391524286,0.00848417024647397,0.03855738570191208,0.18583454103543676,1.0758015546745553e-05,9.794122024396056e-05,0,0.20255,66
61,461.57542671221023,161.38025049402023,0.337856032277507,0.03107766960426544,-0.44980369981514895,105.0,0.0,132.65000000000055,3.432969299492301,-1.3391747990386669,0,1523.7140611276914,154.8526638003726,61,10.563193,10.563193,44,3.523174247321697,0.39526414466058246,0.11824597699299719,113312.65000000596,1.0,8.444817787406734,0.11859280864492314,0.005439337101942933,0.022087990329026037,0.18675134201627083,1.8982772034520268,0.0016286957656146323,0.00012518124591108013,0,2.7396774823442342,0.1406017235037448,0.10066928754574551,22474.00000000745,1.0,21.9796833789984,0.10185875268304903,0.0013120427670376888,0.00669982840294702,0.03150208474770187,0.22365222624472564,7.691641968659909e-06,5.652010586233413e-05,0,0.20255,43
69,66.27837480014833,187.3419962603273,0.2706014682720406,0.1619713313329221,-0.5937745541689795,105.0,0.0,152.85000000000036,4.411438302014679,-1.6114505240026797,0,1129.2340325277357,180.3419962603273,69,10.313778,10.313778,LyC 8,3.235036634097044,0.3392007819043628,0.11532865899746331,-3530.39999999851,1.0,9.999999999999998,0.11469990581499595,0.004729160170134715,0.01648415928391331,0.10445257476367886,0.9565894656524182,0.0004708460102756812,0.00010731624796477727,0,2.900281132572285,0.14019658618515118,0.06560874896828918,10721.75000000745,1.0,23.999999999999975,0.06740349621144162,0.0010623287709730467,0.011998878142188533,0.05656880282704684,0.44991923342020435,1.2032726385242933e-05,0.00012147430333480216,0,0.20619,52
70,232.76110219061087,187.33260433475178,0.32318539457776674,0.14425310498558166,-0.54031016276869,105.0,0.0,143.90000000000055,3.764481513152183,-1.4392629218045327,0,1299.2280391484082,180.33260433475178,70,10.313778,10.313778,LyC 8,3.065894435385549,0.33712297675320285,0.11137373329631288,20616.20000001043,1.0,9.999999999999982,0.1094349845648975,0.00439854134760071,0.016603435990166403,0.10117043534025699,0.8393147497139596,0.00045246804822533695,0.00011191119646810431,0,2.388888229383076,0.13230145410560049,0.10560857408174104,48415.25000000745,1.0,23.946545146317998,0.10565781710914225,0.0012861941333611323,0.0044364458586247536,0.020273145107341916,0.11051796261749204,4.430465604878954e-06,4.6977617779660925e-05,0,0.20255,52
71,287.4270133130646,187.30530709895126,0.3304775669171147,-0.020014112752989206,-0.5395207611412942,105.0,0.0,848.8000000000002,20.47378807774042,-3.2779955090814688,0,1351.7636388598598,180.8138228113866,71,10.102479,10.102479,OVI 13,4.610426439886503,0.46971612732900453,0.028696159516680066,178549.85000000894,1.0,8.454563057834996,0.028699405607738954,0.00024487633585641103,0.0020167584869432045,0.03512673950185142,0.487200774405045,0.0004598045904296373,1.2870124560404121e-05,0,3.403609055526099,0.1612655589104888,0.05182802264062752,-37662.64999999106,1.0,22.822737074618217,0.051330746900349625,0.003029659642983414,0.006399624328206047,0.031320963648245326,0.339766838374156,8.379587810536445e-06,6.543181946764082e-05,0,0.21382,65
73,812.803319804685,189.38453762547675,0.43930598675239835,0.2712070796345138,-0.7130585115672948,105.0,0.0,92.10000000000036,2.413893962453422,-0.9567954712251837,0,1878.3792409828272,182.38453762547675,73,10.102479,10.102479,OVI 13,4.08348719744332,0.3451196568138417,0.16140122845488986,23165.85000000894,1.0,8.737406069181356,0.1664067211512469,0.008470725736982246,0.04907848265715433,0.5238016481299274,6.7395127562905195,0.003336850859922035,0.0002015557628698368,0,3.2882516926209906,0.12790781085742883,0.12904253497359877,233300.20000001043,1.0,23.038509018468314,0.1286001749781285,0.004099077269759495,0.033160100581023026,0.16087885130664437,1.6324768072242506,2.7368537484104874e-05,0.0002250723221232343,0,0.20255,65
